,Questions,Answers
1524,"okay, i'll get the vacuum cleaner.",don't vacuum it now.
1525,don't vacuum it now.,don't you want me to clean up the mud?
1526,don't you want me to clean up the mud?,wait till it dries. it will be easier to vacuum.
1527,wait till it dries. it will be easier to vacuum.,next time i will be more careful.
1528,what are you getting for your mom?,what are you talking about?
1529,what are you talking about?,sunday is mother's day.
1530,sunday is mother's day.,this sunday?
1531,this sunday?,of course. it's all over the news.
1532,of course. it's all over the news.,i thought it was next sunday.
1533,i thought it was next sunday.,"well, you'd better get her something."
1534,"well, you'd better get her something.",i'll get her a nice card.
1535,i'll get her a nice card.,is that it?
1536,is that it?,yes. that's all i ever give her.
1537,yes. that's all i ever give her.,"she raised you, and all you ever give her is a card?"
1538,"she raised you, and all you ever give her is a card?",it's okay. she knows that i love her.
1539,i don't like our flag.,what's the matter with it?
1540,what's the matter with it?,it's too much like other flags.
1541,it's too much like other flags.,"yes, a lot of flags have stripes."
1542,"yes, a lot of flags have stripes.",a flag should be pretty.
1543,a flag should be pretty.,what should our flag look like?
1544,what should our flag look like?,it should have a pretty woman on it.
1545,it should have a pretty woman on it.,that's ridiculous!
1546,that's ridiculous!,you don't like pretty women?
1547,you don't like pretty women?,of course i do. but not on our flag!
1548,of course i do. but not on our flag!,every nation should have a pretty woman on their flag.
1549,every nation should have a pretty woman on their flag.,you can't go to war carrying a flag with a woman on it!
1550,i had a busy morning.,what did you do?
1551,what did you do?,i watered all the plants.
1552,i watered all the plants.,you have a lot of plants.
1553,you have a lot of plants.,then i did my laundry.
1554,then i did my laundry.,that takes some time.
1555,that takes some time.,i took the dog for a walk.
1556,i took the dog for a walk.,i'll bet he enjoyed his walk.
1557,i'll bet he enjoyed his walk.,i vacuumed the entire house.
1558,i vacuumed the entire house.,that's a lot of work.
1559,that's a lot of work.,and then i made lunch.
1560,and then i made lunch.,i'll bet you were hungry!
1561,i don't have long distance service with my home phone.,so how do you make long distance calls?
1562,so how do you make long distance calls?,i use a calling card.
1563,i use a calling card.,where do you get that?
1564,where do you get that?,i buy it at the dollar store.
1565,i buy it at the dollar store.,how much is it?
1566,how much is it?,it's one dollar for 100 minutes.
1567,it's one dollar for 100 minutes.,that's only a penny a minute!
1568,that's only a penny a minute!,it's a great price. but you have to dial a lot of numbers.
1569,it's a great price. but you have to dial a lot of numbers.,how many?
1570,how many?,"first you dial seven numbers, then ten numbers, then ten more numbers."
1571,"first you dial seven numbers, then ten numbers, then ten more numbers.",yikes. i think i'll keep my long distance service.
1572,do you go to college?,"yes, i do."
1573,"yes, i do.",what college do you go to?
1574,what college do you go to?,i go to pasadena city college.
1575,i go to pasadena city college.,do you like it?
1576,do you like it?,"oh, yes, i really like it."
1577,"oh, yes, i really like it.",why do you like it?
1578,why do you like it?,because it has great teachers.
1579,because it has great teachers.,what else?
1580,what else?,"i like all my classmates, too."
1581,"i like all my classmates, too.",anything else?
1582,anything else?,yes. it's not expensive!
1583,i lost my new pen.,where did you lose it?
1584,where did you lose it?,i don't know.
1585,i don't know.,when did you lose it?
1586,when did you lose it?,i think i lost it today. i used it yesterday.
1587,i think i lost it today. i used it yesterday.,did you check all your pockets?
1588,did you check all your pockets?,i checked all my pockets.
1589,i checked all my pockets.,did you look in your desk?
1590,did you look in your desk?,"yes. it isn't there, either."
1591,"yes. it isn't there, either.",it's probably around somewhere.
1592,it's probably around somewhere.,"oh, well, it only cost me a dollar."
1593,"oh, well, it only cost me a dollar.",only a dollar? don't even look for it.
1594,gravity is very important.,what is gravity?
1595,what is gravity?,it's the force that pulls everything down.
1596,it's the force that pulls everything down.,i don't understand.
1597,i don't understand.,"if you pour water into a glass, the water goes down into the glass."
1598,"if you pour water into a glass, the water goes down into the glass.",of course it does.
1599,of course it does.,"without gravity, the water would go up."
1600,"without gravity, the water would go up.",you're joking.
1601,you're joking.,"without gravity, you would go up."
1602,"without gravity, you would go up.",what do you mean?
1603,what do you mean?,you would float into the sky like a balloon.
1604,you would float into the sky like a balloon.,that would be fun!
1605,i can't read my book.,turn on the light.
1606,turn on the light.,the light is on.
1607,the light is on.,open the book.
1608,open the book.,the book is open.
1609,the book is open.,see an eye doctor.
1610,see an eye doctor.,that's what i need to do.
1611,that's what i need to do.,he'll give you a prescription for glasses.
1612,he'll give you a prescription for glasses.,i'll make an appointment tomorrow.
1613,i'll make an appointment tomorrow.,i'll get the yellow pages for an eye doctor.
1614,i'll get the yellow pages for an eye doctor.,read the phone number to me.
1615,read the phone number to me.,"i'll read it very loud, in case your hearing is getting bad, too."
1616,what do you need for school?,i need pencils.
1617,i need pencils.,anything else?
1618,anything else?,i need a notebook.
1619,i need a notebook.,do you need a pen?
1620,do you need a pen?,no. i already have a pen.
1621,no. i already have a pen.,do you need a calculator?
1622,do you need a calculator?,no. the teacher doesn't permit calculators.
1623,no. the teacher doesn't permit calculators.,how about a dictionary?
1624,how about a dictionary?,"no, we have a big dictionary in the classroom."
1625,"no, we have a big dictionary in the classroom.","well, i guess that's it."
1626,"well, i guess that's it.","yes, that's all i need for now."
1627,i like this magazine.,so do i.
1628,so do i.,"i read it once, and i subscribed."
1629,"i read it once, and i subscribed.",it gives you all the news.
1630,it gives you all the news.,all the news in only 50 pages.
1631,all the news in only 50 pages.,i like the political cartoons.
1632,i like the political cartoons.,i like the beautiful photos of the houses for sale.
1633,i like the beautiful photos of the houses for sale.,i always read the film reviews.
1634,i always read the film reviews.,i never miss the food and drink section.
1635,i never miss the food and drink section.,i gave a subscription to my parents.
1636,i gave a subscription to my parents.,me too. they canceled their other news magazines.
1637,me too. they canceled their other news magazines.,so did mine!
1638,my pen is out of ink.,shake it a couple of times.
1639,shake it a couple of times.,i shook it. there is no more ink.
1640,i shook it. there is no more ink.,you can borrow mine.
1641,you can borrow mine.,thank you. i'll buy a new one tomorrow.
1642,thank you. i'll buy a new one tomorrow.,what were you doing?
1643,what were you doing?,i was writing a letter.
1644,i was writing a letter.,who were you writing to?
1645,who were you writing to?,it's to my mom.
1646,it's to my mom.,tell her i said hello.
1647,tell her i said hello.,okay. i'll return your pen when i'm done.
1648,okay. i'll return your pen when i'm done.,take your time.
1649,have you done your homework?,not yet.
1650,not yet.,then why are you watching tv?
1651,then why are you watching tv?,this is my favorite show.
1652,this is my favorite show.,go do your homework.
1653,go do your homework.,"but, mom!"
1654,"but, mom!",you can watch tv after you do your homework.
